callback({"list": name,position,team
Jared Abbrederis,WR,Green Bay Packers
Isa Abdul-Quddus,S,Miami Dolphins
Ameer Abdullah,RB,Detroit Lions
Oday Aboushi,T,Houston Texans
Sam Acho,LB,Chicago Bears
Kenneth Acker,CB,San Francisco 49ers
Corey Acosta,K,San Francisco 49ers
Davante Adams,WR,Green Bay Packers
Jeff Adams,T,Houston Texans
Mike Adams,T,Pittsburgh Steelers
Mike Adams,S,Indianapolis Colts
Tyrell Adams,LB,Kansas City Chiefs
Jahleel Addae,S,San Diego Chargers
Mario Addison,DE,Carolina Panthers
Jude Adjei-Barimah,CB,Tampa Bay Buccaneers
Nelson Agholor,WR,Philadelphia Eagles
Kamar Aiken,WR,Baltimore Ravens
Walt Aikens,S,Miami Dolphins
Jay Ajayi,RB,Miami Dolphins
Derek Akunne,LB,Dallas Cowboys
Branden Albert,T,Miami Dolphins
Chas Alecxih,DT,Carolina Panthers
D.J. Alexander,LB,Kansas City Chiefs
Kwon Alexander,LB,Tampa Bay Buccaneers
Lorenzo Alexander,LB,Buffalo Bills
Maurice Alexander,S,Los Angeles Rams
Mario Alford,WR,Cincinnati Bengals
Robert Alford,CB,Atlanta Falcons
Antonio Allen,S,Houston Texans
Beau Allen,DT,Philadelphia Eagles
Cortez Allen,CB,Pittsburgh Steelers
Dwayne Allen,TE,Indianapolis Colts
Javorius Allen,RB,Baltimore Ravens
Jeff Allen,G,Houston Texans
Josh Allen,C,Tampa Bay Buccaneers
Keenan Allen,WR,San Diego Chargers
Nate Allen,S,Oakland Raiders
RaShaun Allen,TE,New Orleans Saints
Ricardo Allen,S,Atlanta Falcons
Ryan Allen,P,New England Patriots
Torrence Allen,WR,San Diego Chargers
Kiko Alonso,LB,Miami Dolphins
Tyson Alualu,DE,Jacksonville Jaguars
Jace Amaro,TE,New York Jets
Danny Amendola,WR,New England Patriots
David Amerson,CB,Oakland Raiders
Adrian Amos,S,Chicago Bears
Prince Amukamara,CB,Jacksonville Jaguars
Busta Anderson,TE,San Francisco 49ers
C.J. Anderson,RB,Denver Broncos
Colt Anderson,S,Buffalo Bills
Derek Anderson,QB,Carolina Panthers
Dres Anderson,WR,San Francisco 49ers
Henry Anderson,DE,Indianapolis Colts
Joe Anderson,WR,New York Jets
Jonathan Anderson,LB,Chicago Bears
Zaire Anderson,LB,Denver Broncos
Antonio Andrews,RB,Tennessee Titans
David Andrews,C,New England Patriots
Josh Andrews,G,Philadelphia Eagles
Bryan Anger,P,Tampa Bay Buccaneers
Blake Annen,TE,Buffalo Bills
Ezekiel Ansah,DE,Detroit Lions
Stephone Anthony,LB,New Orleans Saints
Kenny Anunike,DE,Denver Broncos
Dri Archer,RB,New York Jets
Javier Arenas,CB,Buffalo Bills
David Arkin,G,Los Angeles Rams
Thurston Armbrister,LB,Jacksonville Jaguars
Arik Armstead,DT,San Francisco 49ers
Terron Armstead,T,New Orleans Saints
Ray-Ray Armstrong,LB,San Francisco 49ers
Kyle Arrington,CB,Baltimore Ravens
Cameron Artis-Payne,RB,Carolina Panthers
Richard Ash,DT,Jacksonville Jaguars
Matt Asiata,RB,Minnesota Vikings
Geno Atkins,DT,Cincinnati Bengals
George Atkinson III,RB,Oakland Raiders
Jerry Attaochu,LB,San Diego Chargers
Josh Aubrey,S,Tennessee Titans
Damarr Aultman,CB,Miami Dolphins
Tavon Austin,WR,Los Angeles Rams
Denico Autry,DE,Oakland Raiders
Cliff Avril,DE,Seattle Seahawks
Akeem Ayers,LB,Los Angeles Rams
Robert Ayers Jr.,DE,Tampa Bay Buccaneers
Jonathan Babineaux,DT,Atlanta Falcons
Kennard Backman,TE,Green Bay Packers
